latitude,longitude,NEE_predicho_mean,NEE_predicho_std,NEE_predicho_min,NEE_predicho_max,NDVI_mean,PRI_mean
4.8,-75.75,-0.4256,2.2464,-11.3159,7.142,0.4293,0.1504
4.8,-75.65,-0.6478,2.3598,-12.9704,4.696,0.7432,0.2248
4.8,-75.55000000000001,0.2119,2.6162,-6.1464,14.2278,-0.0254,-0.0192
4.8,-75.45000000000002,0.1404,2.1897,-5.9185,11.6507,0.3489,0.1618
4.8,-75.35,0.2218,2.2037,-5.3754,11.8119,0.36,0.1694
4.900000000000002,-75.75,-0.7402,2.4817,-14.8315,2.7795,0.8051,0.2493
4.900000000000002,-75.65,-0.2098,2.3809,-10.2026,11.0735,0.3168,0.036
4.900000000000002,-75.55000000000001,-0.5357,2.2472,-12.4392,7.2262,0.8147,0.1784
4.900000000000002,-75.45000000000002,0.3636,2.7067,-5.0742,14.5244,0.0841,0.0044
4.900000000000002,-75.35,0.5006,2.7809,-3.8735,14.6866,-0.0366,0.025
5.000000000000002,-75.75,-0.7798,2.5624,-15.2892,3.1332,0.7567,0.2657
5.000000000000002,-75.65,-0.741,2.5025,-14.7621,4.9717,0.7127,0.2591
5.000000000000002,-75.55000000000001,-0.6882,2.3981,-13.5293,5.8443,0.7271,0.2581
5.000000000000002,-75.45000000000002,-0.0107,2.3503,-7.6638,12.16,0.3567,0.081
5.000000000000002,-75.35,-0.2286,1.6796,-8.6116,7.2293,0.6945,0.3307
5.100000000000001,-75.75,-0.8534,2.7027,-15.5553,2.685,0.7439,0.2796
5.100000000000001,-75.65,-0.8796,2.7644,-16.4313,3.8778,0.7282,0.2742
5.100000000000001,-75.55000000000001,-0.7319,2.5114,-14.3196,5.7679,0.6866,0.246
5.100000000000001,-75.45000000000002,-0.6037,2.005,-11.7072,4.3309,0.8449,0.3835
5.100000000000001,-75.35,-0.3551,1.7606,-9.6378,6.7114,0.6772,0.3484
5.200000000000001,-75.75,-0.9067,2.816,-15.9174,2.0313,0.8091,0.2575
5.200000000000001,-75.65,-0.9673,2.92,-16.6772,1.8754,0.7375,0.2911
5.200000000000001,-75.55000000000001,-0.8792,2.6799,-15.0518,2.9031,0.7778,0.3137
5.200000000000001,-75.45000000000002,-0.5555,1.9976,-11.2361,5.0764,0.7476,0.354
5.200000000000001,-75.35,-0.4962,1.7456,-9.8233,4.4736,0.7905,0.4357
5.300000000000001,-75.75,-0.888,2.7238,-15.3734,1.8818,0.7799,0.3053
5.300000000000001,-75.65,-1.0581,3.1058,-17.408,0.9511,0.7532,0.3024
5.300000000000001,-75.55000000000001,-1.003,2.9296,-17.1907,1.5477,0.7689,0.3387
5.300000000000001,-75.45000000000002,-0.6544,2.1334,-12.1598,3.9579,0.7591,0.3796
5.300000000000001,-75.35,-0.4612,1.7754,-9.6974,5.1849,0.7468,0.391
5.4,-75.75,-0.4443,2.5538,-12.1452,9.304,0.6841,-0.0608
5.4,-75.65,-0.9488,2.8996,-16.7574,2.1469,0.7172,0.2798
5.4,-75.55000000000001,-1.0017,2.9796,-17.7939,2.2191,0.7128,0.306
5.4,-75.45000000000002,-0.7609,2.3274,-14.2644,3.0861,0.7923,0.3934
5.4,-75.35,-0.5471,1.8757,-10.872,4.1472,0.7838,0.4116
