mes,total_nee,pct_absorcion,absorcion_promedio,emision_promedio
1,-32982.5327,61.7166,-1.2111,0.2982
2,-31617.8236,61.0927,-1.2741,0.273
3,-33607.7679,60.7354,-1.2459,0.2837
4,-27711.1122,59.369,-1.1286,0.2959
5,-27754.4714,59.0015,-1.1212,0.3137
6,-26241.2453,59.871,-1.0963,0.3381
7,-26542.7431,60.0557,-1.0965,0.3727
8,-26043.9687,60.6356,-1.0923,0.4121
9,-23808.5489,59.4921,-1.0579,0.3876
10,-23941.5144,57.619,-1.071,0.3714
11,-21566.4253,56.7917,-1.0361,0.3715
12,-23450.1418,59.5929,-1.0755,0.4719
