mes,mes_nombre,mean,std,min,max,count
1,Enero,-0.6333,2.6008,-16.4156,12.5481,52080
2,Febrero,-0.6721,2.6747,-17.3841,12.8907,47040
3,Marzo,-0.6453,2.6345,-17.7939,12.7852,52080
4,Abril,-0.5498,2.469,-15.9233,13.3382,50400
5,Mayo,-0.5329,2.4541,-15.4458,13.4185,52080
6,Junio,-0.5207,2.434,-15.9408,13.5842,50400
7,Julio,-0.5097,2.4551,-15.2302,13.9383,52080
8,Agosto,-0.5001,2.4711,-15.8069,14.0929,52080
9,Septiembre,-0.4724,2.4147,-14.7429,14.272,50400
10,Octubre,-0.4597,2.4176,-16.4092,14.4239,52080
11,Noviembre,-0.4279,2.3528,-15.0578,14.5816,50400
12,Diciembre,-0.4503,2.4808,-14.9365,14.6866,52080
