mes,mes_nombre,mean,std,min,max,sum
1,Enero,-8.795659,36.120867,-227.987463,174.273633,-458077.898075
2,Febrero,-9.335122,37.147138,-241.438604,179.032105,-439124.136093
3,Marzo,-8.962394,36.589286,-247.130836,177.567139,-466761.476776
4,Abril,-7.636226,34.290555,-221.150459,185.247675,-384865.775168
5,Mayo,-7.401459,34.084177,-214.519353,186.362397,-385467.969382
6,Junio,-7.231181,33.804289,-221.394277,188.664678,-364451.529142
7,Julio,-7.078320,34.097399,-211.524787,193.582708,-368638.880638
8,Agosto,-6.945308,34.320158,-219.534286,195.729826,-361711.652839
9,Septiembre,-6.560814,33.536222,-204.756958,198.216247,-330665.025073
10,Octubre,-6.384634,33.576549,-227.899730,200.325658,-332511.717221
11,Noviembre,-5.942962,32.676506,-209.129730,202.516524,-299525.291959
12,Diciembre,-6.253596,34.454023,-207.445217,203.975200,-325687.288659
