mes,mes_nombre,mean,std,min,max,sum,count
1,Enero,-0.633305,2.600775,-16.415557,12.548053,-32982.532742,52080
2,Febrero,-0.672148,2.674669,-17.384067,12.890673,-31617.823644,47040
3,Marzo,-0.645310,2.634502,-17.793919,12.785192,-33607.767926,52080
4,Abril,-0.549824,2.468989,-15.923279,13.338206,-27711.112202,50400
5,Mayo,-0.532920,2.454129,-15.445826,13.418469,-27754.471400,52080
6,Junio,-0.520660,2.433977,-15.940835,13.584237,-26241.245307,50400
7,Julio,-0.509653,2.455082,-15.230211,13.938346,-26542.743061,52080
8,Agosto,-0.500076,2.471121,-15.806911,14.092942,-26043.968686,52080
9,Septiembre,-0.472392,2.414676,-14.742914,14.271970,-23808.548856,50400
10,Octubre,-0.459706,2.417579,-16.409240,14.423851,-23941.514416,52080
11,Noviembre,-0.427905,2.352774,-15.057762,14.581598,-21566.425254,50400
12,Diciembre,-0.450272,2.480759,-14.936474,14.686626,-23450.141793,52080
