Mes,NEE_µmol_m2_s,NEE_tCO2_ha_año,Balance_Mensual_tCO2_ha,Tipo
Enero,-0.6333,-8.795659,-458077.8981,Absorción
Febrero,-0.6721,-9.335122,-439124.1361,Absorción
Marzo,-0.6453,-8.962394,-466761.4768,Absorción
Abril,-0.5498,-7.636226,-384865.7752,Absorción
Mayo,-0.5329,-7.401459,-385467.9694,Absorción
Junio,-0.5207,-7.231181,-364451.5291,Absorción
Julio,-0.5097,-7.07832,-368638.8806,Absorción
Agosto,-0.5001,-6.945308,-361711.6528,Absorción
Septiembre,-0.4724,-6.560814,-330665.0251,Absorción
Octubre,-0.4597,-6.384634,-332511.7172,Absorción
Noviembre,-0.4279,-5.942962,-299525.292,Absorción
Diciembre,-0.4503,-6.253596,-325687.2887,Absorción
